NCBITaxID,DOI,isomer_ID
9606,10.4052/tigg.1734.1SE,4_2_1_0_0c
39293,10.1016/j.ab.2009.03.004,10_8_2_0_0a
9923,10.1021/acs.jafc.1c05872,4_0_0_0_1a
9606,10.4052/tigg.1734.1SE,6_4_0_1_0a
9913,10.1021/acs.analchem.0c00342,3_1_0_0_0g
9606,10.4052/tigg.1734.1SE,5_3_1_0_0b
9838,10.1017/S0007114513003772,1_1_0_1_0a
9590,10.1021/pr1009367,4_2_0_0_0m
9606,10.1021/pr1009367,4_2_0_1_0u
9825,10.1002/elps.201500471,1_1_0_2_0b
1446311,10.1021/acs.analchem.0c00342,4_2_1_0_0r
9598,10.1021/pr1009367,3_1_1_0_0k
9606,10.1021/pr101006u,5_3_2_1_0b
9913,10.3390/dairy1030019,2_0_0_1_0b
9796,10.1017/S0007114513003772,1_1_0_1_0a
9923,10.1021/acs.jafc.1c00499,2_0_1_0_0a
9615,10.1371/journal.pone.0243323,2_0_2_0_0b
9606,10.1021/pr100362f,3_1_1_0_0a
378754,10.1016/s0304-4165(99)00134-8,4_1_2_0_0a
9923,10.1021/acs.jafc.6b05104,3_1_1_0_0h
223998,10.1007/s10719-018-9849-0,3_0_0_0_0c
9923,10.1021/acs.analchem.0c00342,3_1_0_1_0c
1446311,10.1021/acs.analchem.0c00342,3_0_1_0_0c
9600,10.1093/glycob/cwp006,2_0_0_0_1a
9606,10.1021/jf0615810,7_5_3_0_0a
9606,10.1016/bs.accb.2015.08.002,4_2_0_2_0g
9315,10.1071/bi9790519,3_0_0_0_0b
9606,10.1016/bs.accb.2015.08.002,6_4_1_0_0e
29073,10.1016/s0304-4165(00)00103-3,2_0_1_0_0a
9606,10.1016/bs.accb.2015.08.002,5_3_1_0_0a
9825,10.1021/acs.jafc.6b00497,2_0_1_0_0b
9940,10.1017/S0007114513003772,4_2_0_0_0f
9825,10.1038/s41598-018-23025-x,3_1_0_1_0e
9595,10.1021/pr1009367,4_1_0_0_0g
9838,10.1017/S0007114513003772,2_0_1_0_0a
9940,10.1021/acs.jafc.1c05872,2_0_0_0_2c
9595,10.1021/pr1009367,3_1_0_0_0f
9590,10.1021/pr1009367,2_0_0_1_0b
9825,10.1021/jf100398u,3_0_0_0_0d
9515,10.1016/s0742-8413(99)00080-8,3_0_0_0_0b
9923,10.1021/acs.analchem.0c00342,1_1_0_1_0a
9793,10.1016/j.chroma.2015.07.076,2_0_0_1_0a
9685,10.1371/journal.pone.0243323,5_2_1_0_0b
89462,10.1021/acs.analchem.0c00342,3_0_0_1_0g
89462,10.1021/acs.analchem.0c00342,4_2_0_1_0d
9606,10.4052/tigg.1734.1SE,5_3_4_0_0b
9590,10.1021/pr1009367,4_2_0_1_0r
9825,10.1017/S0007114513003772,3_0_0_2_0a
9923,10.1016/j.jfoodeng.2017.06.009,3_1_2_0_0a
